,UserId,MovieId,prediction
0,0003000098E85347,DAF-00288,0.21524932233466035
1,0003000098E85347,DQF-00362,0.2045207256620157
2,0003000098E85347,DAF-00419,0.19625024510747152
3,0003000098E85347,DHF-01530,0.19044506907033024
4,0003000098E85347,DAF-00442,0.1735421259498267
5,0003000098E85347,DAF-00451,0.13902126230493386
6,0003000098E85347,DAF-00437,0.1346791090668825
7,0003000098E85347,DAF-00450,0.12845200099584986
8,0003000098E85347,DAF-00498,0.12790019339336553
9,0003000098E85347,DAF-00449,0.12701253480564154
