,UserId,MovieId,prediction
0,0003000098E85347,DQF-00362,0.0013490162437423828
1,0003000098E85347,DHF-01530,0.0008469494185955078
2,0003000098E85347,DAF-00419,0.0007249704699061363
3,0003000098E85347,DHF-01159,0.0007213264808678868
4,0003000098E85347,DAF-00442,0.0006685506374774385
5,0003000098E85347,DAF-00518,0.0006003005489471234
6,0003000098E85347,DAF-00288,0.00045298665484092915
7,0003000098E85347,DAF-00517,0.0004520216825082798
8,0003000098E85347,DHF-01055,0.00041803223693888576
9,0003000098E85347,DAF-00450,0.0003477203195341879
