,UserId,MovieId,prediction
0,0003000098E85347,DAF-00288,40.968709413593245
1,0003000098E85347,DAF-00349,40.377600845101696
2,0003000098E85347,DAF-00419,19.55002941289658
3,0003000098E85347,DAF-00442,18.107560625377126
4,0003000098E85347,DAF-00482,13.247751543767897
5,0003000098E85347,DQF-00362,12.673588123640336
6,0003000098E85347,DHF-01530,12.498989109107008
7,0003000098E85347,DAF-00460,12.035900401602643
8,0003000098E85347,DAF-00450,10.918420084647238
9,0003000098E85347,DAF-00351,10.911856233530964
