,UserId,MovieId,prediction
0,0003000098E85347,DQF-00362,0.12887579040272293
1,0003000098E85347,DAF-00288,0.10986904706944539
2,0003000098E85347,DHF-01530,0.09950943165823867
3,0003000098E85347,DAF-00419,0.09557779042978759
4,0003000098E85347,DAF-00442,0.08958334087432941
5,0003000098E85347,DAF-00349,0.07445576907053988
6,0003000098E85347,DHF-01159,0.07042670186765639
7,0003000098E85347,DAF-00450,0.05663900232037472
8,0003000098E85347,DAF-00517,0.05231418465652049
9,0003000098E85347,DAF-00518,0.050548338282264994
