,UserId,MovieId,prediction
0,0003000098E85347,DQF-00362,0.06163569629408491
1,0003000098E85347,DAF-00288,0.04918001413729106
2,0003000098E85347,DHF-01530,0.04247486565961613
3,0003000098E85347,DAF-00419,0.04009871823547464
4,0003000098E85347,DAF-00442,0.0384722850970896
5,0003000098E85347,DAF-00349,0.03839772332900534
6,0003000098E85347,DHF-01159,0.03251167391648452
7,0003000098E85347,DAF-00450,0.024748224768116858
8,0003000098E85347,DAF-00518,0.02432458016856142
9,0003000098E85347,DAF-00517,0.022488903514162828
